FCRL5	FCRL5
FCRL3	FCRL3
FCRL2	FCRL2
FCRL1	FCRL1
CD1D	CD1D
CD1A	CD1A
CD1C	CD1C
CD1B	CD1B
CD1E	CD1E
MNDA	MNDA
PYHIN1	PYHIN1
IFI16	IFI16
AIM2	AIM2
FCER1A	FCER1A
DUSP23	DUSP23
FCRL6	FCRL6
SLAMF8	SLAMF8
C1orf204	C1orf204
VSIG8	VSIG8
TAGLN2	TAGLN2
PIGM	PIGM
IGSF8	IGSF8
RP11-536C5.7	RP11-536C5.7
PEA15	PEA15
DCAF8	DCAF8
PEX19	PEX19
COPA	COPA
NCSTN	NCSTN
SLAMF6	SLAMF6
CD84	CD84
SLAMF1	SLAMF1
RP11-404F10.2	RP11-404F10.2
CD48	CD48
SLAMF7	SLAMF7
LY9	LY9
CD244	CD244
ITLN1	ITLN1
F11R	F11R
TSTD1	TSTD1
USF1	USF1
ARHGAP30	ARHGAP30
KLHDC9	KLHDC9
PFDN2	PFDN2
NIT1	NIT1
DEDD	DEDD
UFC1	UFC1
USP21	USP21
PPOX	PPOX
B4GALT3	B4GALT3
NDUFS2	NDUFS2
FCER1G	FCER1G
TOMM40L	TOMM40L
MPZ	MPZ
SDHC	SDHC
FCGR2A	FCGR2A
HSPA6	HSPA6
FCGR3A	FCGR3A
FCGR2B	FCGR2B
FCGR3B	FCGR3B
FCRLA	FCRLA
FCRLB	FCRLB
DUSP12	DUSP12
ATF6	ATF6
SH2D1B	SH2D1B
UHMK1	UHMK1
RP11-359K18.3	RP11-359K18.3
UAP1	UAP1
HSD17B7	HSD17B7
RP11-267N12.3	RP11-267N12.3
NUF2	NUF2
PBX1	PBX1
MGST3	MGST3
ALDH9A1	ALDH9A1
TMCO1	TMCO1
RP11-466F5.8	RP11-466F5.8
UCK2	UCK2
POGK	POGK
TADA1	TADA1
GPA33	GPA33
RP11-277B15.3	RP11-277B15.3
POU2F1	POU2F1
CD247	CD247
RP11-104L21.3	RP11-104L21.3
CREG1	CREG1
RP3-455J7.4	RP3-455J7.4
RCSD1	RCSD1
MPZL1	MPZL1
